page_title,min_level,redirect_page_title
Information_professional,1,Information_Professional
Technology_transfer_in_computer_science,1,
Computational_social_choice,1,Computational_social_choice
Outline_of_computer_science,1,Computer_science_basic_topics
Outline_of_computer_science,1,List_of_computer_science_topics
Outline_of_computer_science,1,List_of_cs_topics
Outline_of_computer_science,1,List_of_basic_computer_science_topics
Outline_of_computer_science,1,Topical_outline_of_computer_science
Outline_of_computer_science,1,Topic_outline_of_computer_science
Reduction_Operator,1,Reduction_Operator
Lempel-Ziv_complexity,1,
Programmer,1,Programmer_analyst
Programmer,1,A_programmer
Programmer,1,Programer
Programmer,1,Coders
Programmer,1,Computer_programer
Programmer,1,Computer_Programmers
Programmer,1,Coder
Programmer,1,Computer_programmers
Programmer,1,Software_Programmer
Programmer,1,Programmers
Programmer,1,Developer_program
Programmer,1,Computer_programmer
Programmer,1,Computer_Programmer
Programmer,1,Software_programmer
Programmer,1,Development_Program
Programmer,1,Applications_developer
Social_information_architecture,1,Social_Information_Architecture
Information_seeking,1,Definitions_for_Information_seeking
Systematic_review,1,Systematic_literature_review
Systematic_review,1,Systematic_reviews
Systematic_review,1,Structured_literature_review
Systematic_review,1,Systemic_review
Systematic_review,1,Systematic_Review
Systematic_review,1,Systematic_Reviews
Systematic_review,1,Systematical_review
Systematic_review,1,Systemic_Review
Sidney_Michaelson,1,
Wojciech_Zaremba,1,Wojciech_Zaremba
Computational_human_modeling,1,
Philosophy_of_computer_science,1,
Computer_engineering,1,Computer_systems_engineering
Computer_engineering,1,Computer_Systems_Engineering
Computer_engineering,1,Computer_designer
Computer_engineering,1,Electrical_and_Computer_Engineering
Computer_engineering,1,Computer_Engineer
Computer_engineering,1,Computer_enginier
Computer_engineering,1,Computer_electronic_engineer
Computer_engineering,1,School_of_Electronics_and_Computer_Science
Computer_engineering,1,Hardware_engineering
Computer_engineering,1,Computer_systems_engineer
Computer_engineering,1,Computer_Engineering
Computer_engineering,1,Electrical_engineering_and_computing
Computer_engineering,1,Computer_engineer
Computer_engineering,1,Computer_(Systems)_engineering
Computer_engineering,1,Electronics_and_Computer_Science
Computer_engineering,1,Computer_systems_engineers
Computer_engineering,1,Computer_engineers
Computer_engineering,1,Informatics_Engineering
Computer_engineering,1,Hardware_Engineer
Wiener_connector,1,Wiener_Connector
Computer_science_in_sport,1,
Vivekananda_Institute_of_Professional_Studies,1,
Machine_learning_in_bioinformatics,1,Machine_Learning_Applications_in_Bioinformatics
Investigative_Data_Warehouse,1,
E-corpus,1,E-Corpus
Information_behavior,1,
Metamedia,1,Meta-media
Paper_with_delayed_recognition,1,Sleeping_Beauty_(paper_with_delayed_recognition)
Paper_with_delayed_recognition,1,Sleeping_beauty_(paper_with_delayed_recognition)
Paper_with_delayed_recognition,1,Delayed_recognition
Cultural_informatics,1,
Scientific_communication,1,
Information_centre,1,Information_center
Five_laws_of_library_science,1,Ranganathan_laws
Findability,1,Findable
Information_scientist,1,Information_scientists
Web_Feature_Service,1,Web_Feature_Server
Web_Feature_Service,1,ISO_19143
Web_Feature_Service,1,WFS-T
Web_Feature_Service,1,ISO_19142
Data_curation,1,
Cyberworthiness,1,
General_formal_ontology,1,General_Formal_Ontology
List_of_universities_offering_degrees_in_business_informatics,1,List_of_Universities_offering_degrees_in_Business_informatics
Online_public_access_catalog,1,Online_Public_Access_Catalog
Online_public_access_catalog,1,Online_Public_Access_Catalogue
Online_public_access_catalog,1,Online_public_access_catalogue
Online_public_access_catalog,1,WPopac
Online_public_access_catalog,1,OPAC
Robert_Freeman_Asleson,1,Robert_Asleson
Robert_Freeman_Asleson,1,Robert_F._Asleson
World_Congress_of_Universal_Documentation,1,Alf.laylah.wa.laylah/World_Congress_of_Universal_Documentation
Recording_format,1,Recording_formats
Human_biocomputer,1,Human_Biocomputer
Taxonomic_database,1,Taxonomic_databases
Concordance_(publishing),1,Concordance_search
Concordance_(publishing),1,Topical_concordance
Information_school,1,Information_Department
Information_school,1,ISchool
Information_school,1,I-school
Information_school,1,I-School
Archival_bond,1,
Information_space_analysis,1,
Information_ethics,1,Infoethics
Information_ethics,1,Digital_ethics
Upper_ontology,1,Standard_ontology
Upper_ontology,1,Upper_Ontology_(computer_science)
Upper_ontology,1,Upper_Ontologies_(computer_science)
Upper_ontology,1,Upper_ontology_(information_science)
Upper_ontology,1,Reference_ontologies
Upper_ontology,1,Foundation_Ontology
Upper_ontology,1,DOLCE_(Descriptive_Ontology_for_Linguistic_and_Cognitive_Engineering)
Upper_ontology,1,Reference_ontology
Upper_ontology,1,Standard_Upper_Ontology
Upper_ontology,1,Standard_upper_ontology
Upper_ontology,1,Top-level_ontology
